t,stamp,label,moving,cmd_waist,cmd_shoulder,cmd_elbow,cmd_wrist_angle,cmd_wrist_rotate,meas_waist,meas_shoulder,meas_elbow,meas_wrist_angle,meas_wrist_rotate,enc_x,enc_y,enc_z,enc_qx,enc_qy,enc_qz,enc_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,fk_x,fk_y,fk_z,fk_pitch
6.921894550323486,1788958786.1967416,sweep0_home->reach_far,0,0.0,-1.26,1.381,-0.12,0.0,0.0,-1.2655341625213623,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.17937884207995047,0.0,0.17947970112551223,-0.0038349325825853134,-0.002300958756448701,-8.824109953112095e-06,0.9999899993515051,0.11802621449398876,0.00605337485281086,0.21851565345493756,-0.037111927227471524,0.004245399284533637,-0.6927991789508995,0.7201624671470582,0.1799554789821816,0.0,0.1797827349772174,0.0010000000000000009
6.956632375717163,1788958786.2300992,sweep0_home->reach_far,0,0.0,-1.2557142857142858,1.3764642857142857,-0.11499999999999999,0.0,0.0,-1.2655341625213623,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.17937884207995047,0.0,0.17947970112551223,-0.0038349325825853134,-0.002300958756448701,-8.824109953112095e-06,0.9999899993515051,0.11798899469941498,0.006056336608512074,0.21846921930289448,-0.03725849036064539,0.004522138448276536,-0.6928495520059472,0.7201047517167617,0.18035924445809426,0.0,0.179612400854278,0.005749999999999922
6.991886377334595,1788958786.2634566,sweep0_home->reach_far,0,0.0,-1.2514285714285713,1.3719285714285714,-0.11,0.0,0.0,-1.2655341625213623,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.17942329138649318,0.0,0.17937317384105417,-0.00383493503341665,-0.002004064616553502,-7.685529555906833e-06,0.9999906384257978,0.11793349789901025,0.006054453312890836,0.21839656233831428,-0.03677578820372651,0.004783674089089696,-0.6929058382982755,0.7200737164460098,0.1807617577151726,0.0,0.17944036148783907,0.010500000000000051
7.026724576950073,1788958786.296814,sweep0_home->reach_far,0,0.0,-1.247142857142857,1.367392857142857,-0.105,0.0,0.0,-1.2640001773834229,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.17948701311519266,0.0,0.17922014689633275,-0.0038349379616889005,-0.0015777030390287659,-6.050445298391975e-06,0.9999914019967086,0.1180561171340655,0.006062115895367553,0.21840177990431436,-0.03777930242800832,0.00406416828220695,-0.6926830043071742,0.7202405586942564,0.1811630114686013,0.0,0.1792666238790477,0.015249999999999972
7.061822175979614,1788958786.3301713,sweep0_home->reach_far,1,0.0,-1.2428571428571429,1.3628571428571428,-0.1,0.0,0.0,-1.260932207107544,1.3913205862045288,-0.1288543939590454,-0.0076699042692780495,0.17972140835912395,0.0,0.17865405824514738,-0.00383494273462384,-1.7829021201065669e-06,-6.837377810198915e-09,0.9999926465784853,0.11828755105753747,0.006053264919702997,0.2180053732488469,-0.03683369157168852,0.006626059922450524,-0.6932319136348455,0.7197422374803887,0.18156299847153715,0.0,0.1790911950601063,0.01999999999999988
7.096786975860596,1788958786.3635287,sweep0_home->reach_far,1,0.0,-1.2385714285714287,1.3583214285714287,-0.095,0.0,0.0,-1.257864236831665,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.17998588794712617,0.0,0.17800917516245626,-0.0038349365838939724,0.0017910005968183593,6.868435232975028e-06,0.9999910427254257,0.11868880305678775,0.006053806617296513,0.21739797116637694,-0.03821743577531042,0.006299314845732333,-0.6929569265195276,0.7199378058025879,0.18196171151524113,0.0,0.17891408209407164,0.024750000000000022
7.132608413696289,1788958786.3968863,sweep0_home->reach_far,1,0.0,-1.2342857142857142,1.3537857142857144,-0.09,0.0,0.0,-1.2517284154891968,1.3897866010665894,-0.1288543939590454,-0.0076699042692780495,0.18035926412983808,0.0,0.17708736448052073,-0.003834906465651114,0.004349096055817681,1.667865696663431e-05,0.9999831891475573,0.1192018359244561,0.006034708168706158,0.2168063488213119,-0.0412738692719181,0.007936022087837969,-0.6928580184935246,0.7198480766647731,0.18235914342920953,0.0,0.17873529207465433,0.029500000000000165
7.171970367431641,1788958786.4302437,sweep0_home->reach_far,1,0.0,-1.23,1.34925,-0.08499999999999999,0.0,0.0,-1.2486604452133179,1.3897866010665894,-0.12732040882110596,-0.0076699042692780495,0.18063425232493377,0.0,0.17599590269693194,-0.0038348342394505935,0.0075220204877925485,2.8846729941516866e-05,0.9999643555757391,0.11962928399085276,0.006049795010986823,0.21620340548007105,-0.04327192487748687,0.008150083842970748,-0.6923803526505358,0.7201878670973775,0.18275528708130423,0.0,0.17855483212601708,0.034250000000000086
7.206694841384888,1788958786.463601,sweep0_home->reach_far,1,0.0,-1.2257142857142858,1.3447142857142858,-0.08,0.0,0.0,-1.245592474937439,1.3897866010665894,-0.12271846830844879,-0.0076699042692780495,0.1808533544723177,0.0,0.1747924998448962,-0.003834701522350249,0.011215670452256628,4.301177019849322e-05,0.9999297485076282,0.12000378551918467,0.006025389686541701,0.21526023299996117,-0.0451816915450413,0.011049663991953847,-0.6924273078501694,0.7199867658632073,0.18315013537788163,0.0,0.17837270940257233,0.03899999999999999
7.244771957397461,1788958786.5303159,sweep0_home->reach_far,1,0.0,-1.2214285714285715,1.3401785714285714,-0.075,0.0,0.0,-1.2363885641098022,1.382116675376892,-0.10584467649459839,-0.0076699042692780495,0.18157802690189245,0.0,0.17298152914407522,-0.0038342030747204876,0.01963936586010273,7.531639725103606e-05,0.9997997742162353,0.12160450182683263,0.006057551662396723,0.21431190155324292,-0.05277641014835599,0.01902405156373632,-0.6926117858297252,0.7191256149823284,0.1835436812639208,0.0,0.17818893108877976,0.043749999999999914
7.281787872314453,1788958786.5636733,sweep0_home->reach_far,1,0.0,-1.217142857142857,1.3356428571428571,-0.07,0.0,0.0,-1.2333205938339233,1.3744468688964844,-0.09970875084400177,-0.0076699042692780495,0.18214140217804578,0.0,0.17374239050579723,-0.0038340829588068095,0.021173889090948195,8.120124924007644e-05,0.999768453010489,0.12222002831006062,0.006136189869980207,0.21513653987208448,-0.05342107462128671,0.018767756688074757,-0.6921682141247759,0.7195117257213556,0.18393591772315004,0.0,0.17800350439894277,0.04850000000000004
7.3167548179626465,1788958786.5970309,sweep0_home->reach_far,1,0.0,-1.2128571428571429,1.3311071428571428,-0.065,0.0,0.0,-1.2271846532821655,1.3652429580688477,-0.09357283264398575,-0.0076699042692780495,0.18255725205600332,0.0,0.17442987955201222,-0.0038340299335812068,0.02181697748241123,8.366747452983244e-05,0.9997546262497384,0.12257949392771489,0.006235249148841488,0.21595580974550432,-0.05446276846512564,0.01973550412657678,-0.6918821070833387,0.7196828931035555,0.18432683777817338,0.0,0.17781643657700522,0.053249999999999964
7.352405309677124,1788958786.6303883,sweep0_home->reach_far,1,0.0,-1.2085714285714286,1.3265714285714285,-0.06,0.0,0.0,-1.2241166830062866,1.3606410026550293,-0.0920388475060463,-0.0076699042692780495,0.18293800919474698,0.0,0.17509882097470456,-0.003833993854368734,0.022243913770175712,8.530476278441249e-05,0.9997452183003463,0.12299983394232544,0.006287807437726948,0.2166736889657031,-0.05369861807059041,0.021397156439742212,-0.6923445563493772,0.7192479651740326,0.184716434490595,0.0,0.17762773489634642,0.057999999999999885
7.386725664138794,1788958786.6637456,sweep0_home->reach_far,1,0.0,-1.2042857142857142,1.3220357142857142,-0.05499999999999999,0.0,0.0,-1.2210487127304077,1.3545050621032715,-0.08897088468074799,-0.0076699042692780495,0.1833742045920439,0.0,0.17574779280356362,-0.003833949719274926,0.02275528236550301,8.726584648445264e-05,0.9997337097140859,0.12341845571250648,0.006323133697095051,0.21736463248058907,-0.053241080719706055,0.021613259661199,-0.6925252754687523,0.7191015207657014,0.18510470096114323,0.0,0.17743740665957683,0.06275000000000003
