t,stamp,label,moving,cmd_waist,cmd_shoulder,cmd_elbow,cmd_wrist_angle,cmd_wrist_rotate,meas_waist,meas_shoulder,meas_elbow,meas_wrist_angle,meas_wrist_rotate,enc_x,enc_y,enc_z,enc_qx,enc_qy,enc_qz,enc_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,fk_x,fk_y,fk_z,fk_pitch,raw_x,raw_y,raw_z,raw_qx,raw_qy,raw_qz,raw_qw
6.850912809371948,1788959166.0739555,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.15805554522072837,-0.0848687485006227,0.18068102102522307,-0.004284740196068147,-0.0044584821988581415,-0.24391244180357644,0.9697775433940258,0.10374629173025368,-0.0513002003788108,0.21967257287732117,-0.03531568842321265,-0.002493849403583,-0.8455781119004173,0.532676486754646,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014612669763879585,-0.10629372909058109,0.5028834908499726,-0.28821154240359365,0.9333636024118296,-0.20031497722742053,-0.07510261258126631
6.851594686508179,1788959166.1073148,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.1580391678378132,-0.08489924190600986,0.18068102102522313,-0.004285170282357785,-0.004458068832637598,-0.24400599433593875,0.9697540088424819,0.10374610314394217,-0.05129789587607807,0.21966875598396918,-0.03504845442637551,-0.002621254845653717,-0.8454033713990259,0.5329708007879208,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014615188615715227,-0.10629182542468162,0.5028866446435734,-0.28788618898113666,0.9333968409599763,-0.20062777343462507,-0.07510243675486565
6.855288743972778,1788959166.1073148,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.1580391678378132,-0.08489924190600986,0.18068102102522313,-0.004285170282357785,-0.004458068832637598,-0.24400599433593875,0.9697540088424819,0.10374610314394217,-0.05129789587607807,0.21966875598396918,-0.03504845442637551,-0.002621254845653717,-0.8454033713990259,0.5329708007879208,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014615188615715227,-0.10629182542468162,0.5028866446435734,-0.28788618898113666,0.9333968409599763,-0.20062777343462507,-0.07510243675486565
6.866473436355591,1788959166.1073148,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.1580391678378132,-0.08489924190600986,0.18068102102522313,-0.004285170282357785,-0.004458068832637598,-0.24400599433593875,0.9697540088424819,0.10374610314394217,-0.05129789587607807,0.21966875598396918,-0.03504845442637551,-0.002621254845653717,-0.8454033713990259,0.5329708007879208,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014615188615715227,-0.10629182542468162,0.5028866446435734,-0.28788618898113666,0.9333968409599763,-0.20062777343462507,-0.07510243675486565
6.875247478485107,1788959166.1073148,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.1580391678378132,-0.08489924190600986,0.18068102102522313,-0.004285170282357785,-0.004458068832637598,-0.24400599433593875,0.9697540088424819,0.10374610314394217,-0.05129789587607807,0.21966875598396918,-0.03504845442637551,-0.002621254845653717,-0.8454033713990259,0.5329708007879208,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014615188615715227,-0.10629182542468162,0.5028866446435734,-0.28788618898113666,0.9333968409599763,-0.20062777343462507,-0.07510243675486565
6.884228944778442,1788959166.1073148,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.1580391678378132,-0.08489924190600986,0.18068102102522313,-0.004285170282357785,-0.004458068832637598,-0.24400599433593875,0.9697540088424819,0.10374610314394217,-0.05129789587607807,0.21966875598396918,-0.03504845442637551,-0.002621254845653717,-0.8454033713990259,0.5329708007879208,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014615188615715227,-0.10629182542468162,0.5028866446435734,-0.28788618898113666,0.9333968409599763,-0.20062777343462507,-0.07510243675486565
6.884910821914673,1788959166.140674,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.15796541535091183,-0.08503638868212575,0.1806810210252231,-0.004287104691578443,-0.004456208638381185,-0.24442684697106187,0.9696480183126864,0.10371208591842801,-0.05130779721411645,0.21963970201388716,-0.03476562103528028,-0.0023023280368123637,-0.8456660963613767,0.5325738487238679,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014612514131523409,-0.10630892956671349,0.5029290667694492,-0.28822658345157726,0.9332581767487899,-0.20058832786693667,-0.07562363947141024
6.886369943618774,1788959166.140674,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.15796541535091183,-0.08503638868212575,0.1806810210252231,-0.004287104691578443,-0.004456208638381185,-0.24442684697106187,0.9696480183126864,0.10371208591842801,-0.05130779721411645,0.21963970201388716,-0.03476562103528028,-0.0023023280368123637,-0.8456660963613767,0.5325738487238679,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014612514131523409,-0.10630892956671349,0.5029290667694492,-0.28822658345157726,0.9332581767487899,-0.20058832786693667,-0.07562363947141024
6.895182132720947,1788959166.140674,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.15796541535091183,-0.08503638868212575,0.1806810210252231,-0.004287104691578443,-0.004456208638381185,-0.24442684697106187,0.9696480183126864,0.10371208591842801,-0.05130779721411645,0.21963970201388716,-0.03476562103528028,-0.0023023280368123637,-0.8456660963613767,0.5325738487238679,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014612514131523409,-0.10630892956671349,0.5029290667694492,-0.28822658345157726,0.9332581767487899,-0.20058832786693667,-0.07562363947141024
6.905276775360107,1788959166.140674,high_wL,0,-0.5,-1.26,1.381,-0.12,0.0,-0.4939418137073517,-1.2655341625213623,1.38825261592865,-0.13345633447170258,-0.006135923322290182,0.15796541535091183,-0.08503638868212575,0.1806810210252231,-0.004287104691578443,-0.004456208638381185,-0.24442684697106187,0.9696480183126864,0.10371208591842801,-0.05130779721411645,0.21963970201388716,-0.03476562103528028,-0.0023023280368123637,-0.8456660963613767,0.5325738487238679,0.15792579027139206,-0.08627525243580975,0.1797827349772174,0.0010000000000000009,0.014612514131523409,-0.10630892956671349,0.5029290667694492,-0.28822658345157726,0.9332581767487899,-0.20058832786693667,-0.07562363947141024
