dir,q_waist,q_shoulder,q_elbow,q_wrist_angle,q_wrist_rotate,target_q_waist,target_q_shoulder,target_q_elbow,target_q_wrist_angle,target_q_wrist_rotate,measured_effort_waist,measured_effort_shoulder,measured_effort_elbow,measured_effort_wrist_angle,measured_effort_wrist_rotate,pwm_waist,pwm_shoulder,pwm_elbow,pwm_wrist_angle,pwm_wrist_rotate,tau_waist,tau_shoulder,tau_elbow,tau_wrist_angle,tau_wrist_rotate
1.0,0.0,-1.558524489402771,0.6028085281786401,-0.38963112235069275,-0.021965992956721084,0.0,-1.6,0.6,-0.4,0.0,0.0,202.94556012671538,-257.75639611862124,-115.67000579833984,175.49144239104197,-6.629581954946264e-14,54.98819455088411,-92.32018846228036,-39.44593629940985,58.57541595022633,-3.9688939546003e-20,0.6493707896841744,-0.332669727261698,-0.02359119312119932,4.825151868098329e-05
-1.0,0.0015339808305725455,-1.6026230915060056,0.5767921232403292,-0.4019489357533973,-0.02147573232650757,0.0,-1.6,0.6,-0.4,0.0,-13.450000762939453,551.5071033949263,-39.11414674813679,3.01239706782366,172.16000366210938,-4.090615272521973,187.30377087110156,-11.09185123055047,1.1089292918626061,57.27463392828135,-2.0874444917353168e-20,0.707050171231686,-0.28619663888144276,-0.008177182775485082,3.0091828475225015e-05
1.0,0.0015339808305725455,-1.5616077803791537,0.6003476406602228,-0.1365242898464203,-0.021537014905284257,0.0,-1.6,0.6,-0.15000000000000002,0.0,-13.450000762939453,165.3795915048816,-268.61379490541606,-209.82000732421875,172.16000366210938,-4.090615272521973,52.83116099629719,-96.18005939241273,-70.18778177116535,57.45132734836821,-2.6364825768969058e-20,0.6086997244408467,-0.37358831380024204,-0.06850711926809222,9.645956383354216e-05
-1.0,-0.0007382282747130375,-1.602356078028679,0.5746023786067963,-0.15800002217292786,-0.02151791676413268,0.0,-1.6,0.6,-0.15000000000000002,0.0,4.223300054073333,515.8377614212036,-44.875926547050476,-13.01287567615509,172.16000366210938,2.065760712623566,175.66058061642508,-16.049801647882155,-5.11053814722988,57.36631091018626,2.22473203596342e-20,0.664305725059696,-0.3284975315691032,-0.05288820060841875,7.941526301169856e-05
1.0,-0.00016661215013709295,-1.563271991471375,0.5997865200042725,0.11198060214519501,-0.02150254345472237,0.0,-1.6,0.6,0.09999999999999998,0.0,0.1276154833637671,157.21555775084002,-290.52001953125,-258.239990234375,172.16000366210938,0.4902610064445276,47.29752354283858,-104.45136209503212,-86.4719016566271,57.4139515142574,8.642379735362323e-20,0.5696360599032195,-0.41185130481480337,-0.10904872542965338,0.0001393893336116522
-1.0,-0.0015339808305725455,-1.601460595005594,0.572159488075815,0.08617555112280745,-0.02156788629196463,0.0,-1.6,0.6,0.09999999999999998,0.0,10.760000228881836,477.71235933649973,-61.72860083741151,-27.805645619226485,172.2408047366948,4.090615272521973,162.87286635818208,-19.63123274210549,-10.407479231455275,57.56999390521434,-2.1186212821386409e-19,0.6234060537262709,-0.36812543748079807,-0.09460616041534411,0.00012455914259974646
1.0,-0.0015339808305725455,-1.5647522395388445,0.6013511083369838,0.3635534644126892,-0.02156754157638312,0.0,-1.6,0.6,0.35,0.0,10.760000228881836,137.98828163051843,-326.5599740045029,-322.8000183105469,172.1868366041683,4.090615272521973,42.348073434258204,-117.26573823064955,-107.97076096522288,57.50761364095649,-5.998408508641894e-21,0.5345175613636904,-0.44573426486987994,-0.14365591899739874,0.000174902270451588
-1.0,-0.0011682001331451346,-1.60149127475629,0.5690762354491207,0.3334253855635611,-0.021567656194672602,0.0,-1.6,0.6,0.35,0.0,7.190124676617493,451.721873422687,-67.03506865959787,-60.31510764323222,172.2674694275588,3.104986374149005,153.86703455789072,-20.140974284043143,-21.387737208114835,57.52065990358683,-9.411477191714448e-21,0.5878051052371036,-0.4022097357838722,-0.13099977984188058,0.00016228503259537615
1.0,-0.00032747905371773446,-1.5660871701889418,0.5999301515714952,0.6135923266410828,-0.021680645949292122,0.0,-1.6,0.6,0.6,0.0,0.8597253616085362,120.74439713838842,-333.78164569983323,-363.1499938964844,172.72419893071893,0.8579567612779593,39.42913415829221,-119.58596074140848,-120.67756066496266,57.83461603277623,-6.334664378566992e-20,0.5092659950302777,-0.4697570751876375,-0.16886302598384983,0.00019992357407643582
-1.0,0.0,-1.6006065043021975,0.5671917892871575,0.579999894908305,-0.02168830627163921,0.0,-1.6,0.6,0.6,0.0,0.0,425.34576926546896,-73.42927870351575,-78.43986519802822,173.02308809087518,-6.625825379687232e-14,143.8492590642727,-22.236198622062698,-26.542056592889097,57.8789238993803,2.1008532030601416e-19,0.5578668982336027,-0.43031641141799726,-0.15975189853000737,0.00019167196306652077
1.0,0.0,-1.57153460085392,0.9004927921295166,-0.38680861473083494,-0.021696241886820643,0.0,-1.6,0.9,-0.4,0.0,0.0,156.47394207000733,-353.136490020752,-217.59746404647828,173.09814201354982,-6.629643142817986e-14,49.29308273873306,-127.24255700283375,-72.87494714770247,57.85711462105156,-4.3327985805324656e-20,0.490948522004799,-0.4938134676209569,-0.07542487513667873,0.00010464094699594763
-1.0,0.0015339808305725455,-1.6016444817613276,0.8668600265006448,-0.40343695878982544,-0.02153892998587103,0.0,-1.6,0.9,-0.4,0.0,-13.450000762939453,417.63510459490334,-84.965045552724,-61.87000274658203,172.31784400511324,-4.090615272521973,140.78990502781173,-28.317212258182266,-21.519613923821794,57.44978452893672,-5.415512021821127e-20,0.5344799284221322,-0.4580102017596326,-0.06136967353041953,8.873542202879469e-05
1.0,0.0015339808305725455,-1.5692470646678434,0.8995275305451526,-0.13345633447170258,-0.02155233554997843,0.0,-1.6,0.9,-0.15000000000000002,0.0,-13.450000762939453,135.7492911044727,-371.87822903408096,-309.3500061035156,172.2003033241529,-4.090615272521973,32.52151119166924,-134.81836749514616,-102.26655144748491,57.50742730629978,7.777977854077246e-20,0.4491364814125721,-0.5336385117595628,-0.11629965925387897,0.0001471601048470118
-1.0,0.0,-1.5995738124847412,0.8636618685722351,-0.1640899282693863,-0.02161762543488294,0.0,-1.6,0.9,-0.15000000000000002,0.0,0.0,374.9053082275391,-88.22527847290038,-37.821399993896485,172.4828039550781,-6.628547638890241e-14,125.01295426044841,-29.657012941204908,-13.138913783972335,57.6631858761621,2.9849441061241546e-20,0.4945433254790197,-0.49630858924003973,-0.10150591821269936,0.00013206431943097214
1.0,0.0,-1.5710072934627533,0.9004927921295166,0.11504856497049332,-0.02161379048600793,0.0,-1.6,0.9,0.09999999999999998,0.0,0.0,89.80565155029296,-401.8254734802246,-344.32000732421875,172.45590393066405,-6.630874148811402e-14,28.93921275835521,-145.37775893402411,-114.56804347488327,57.662645072368804,-1.2407064388083232e-19,0.41663869631380196,-0.5649554763062583,-0.14887707597170094,0.0001804566499160252
-1.0,0.0,-1.6000319780333063,0.8620531567175885,0.07800321546051833,-0.02155233554997843,0.0,-1.6,0.9,0.09999999999999998,0.0,0.0,354.8818709889006,-122.66199020023798,-26.063784131396577,172.37493519300824,-6.631197725810292e-14,117.49217937359772,-33.71871729184021,-9.394543122693817,57.50636777149231,-1.4779614586772788e-19,0.4603444907636641,-0.5290760028773908,-0.13613466653922057,0.00016736823463704082
1.0,0.0,-1.5728665801618578,0.9008106392123428,0.36508744955062866,-0.021598297484060947,0.0,-1.6,0.9,0.35,0.0,0.0,86.12030123592763,-419.1261939573824,-381.9800109863281,172.42866807573296,-6.626622082380897e-14,27.82595476763874,-152.03362855623817,-126.44560504760874,57.635937054600475,1.5988619291636512e-19,0.3928503096602852,-0.5876922039895128,-0.1724246762828655,0.00020240509738234948
-1.0,-0.0015339808305725455,-1.6014298769052098,0.8607340880269849,0.33491849481537284,-0.021629322268936005,0.0,-1.6,0.9,0.35,0.0,10.760000228881836,344.04730369749296,-108.96352187862085,-123.820805421908,172.61787641809343,4.090615272521973,114.06796627176035,-36.9925329231199,-41.89343299679805,57.70701606704309,1.4625364881502288e-20,0.43237239792785126,-0.5557127133083907,-0.16426250794398647,0.00019528127860377859
1.0,-0.0015339808305725455,-1.572345657241612,0.9004926773675362,0.6136382314332406,-0.021672739675198855,0.0,-1.6,0.9,0.6,0.0,10.760000228881836,71.40239548623711,-425.0032483716855,-387.68536529160497,173.26350840428228,4.090615272521973,22.691561961211328,-154.62406363118546,-129.06202140734342,57.92838536049671,-1.5097279730230677e-19,0.3781622366373685,-0.6011966934022731,-0.1853868085558095,0.0002130197680159696
-1.0,-0.0015339808305725455,-1.5999668650561654,0.8605632185935974,0.5700376094057319,-0.021761079333936527,0.0,-1.6,0.9,0.6,0.0,10.645817934052923,321.1577979003297,-119.67981454227747,-29.825081181139236,173.4798175940353,4.090615272521973,105.34743400864713,-40.98403715237534,-10.556062970605446,58.0666037600694,-1.2860096227401994e-19,0.4134135122312567,-0.5731325657265236,-0.18097290913299036,0.0002108679374743985
1.0,-0.0003528155910316855,-1.577716560959816,1.2016784346103668,-0.3880971372127533,-0.021642552602570503,0.0,-1.6,1.2000000000000002,-0.4,0.0,1.5602000331878663,110.37742783546447,-446.79555877685544,-277.07000732421875,172.91320434570312,1.14537227630609,34.0616619310302,-162.4030231678396,-92.73090439112428,57.83116737545983,-3.7733200217810944e-20,0.3666250923371158,-0.6180791152737931,-0.1219798757681067,0.00015388865229886225
-1.0,0.0,-1.6013231286373115,1.1581555604934692,-0.4172580777708056,-0.021546413825075623,0.0,-1.6,1.2000000000000002,-0.4,0.0,0.0,322.0663719319763,-134.5,-18.776400909328817,172.16000366210938,-6.625236378241986e-14,105.91596923075868,-38.81976093656881,-7.77354894787158,57.39298561474886,2.498525678934528e-19,0.40120046812862675,-0.5898232468567819,-0.10767168268123431,0.000137916489397789
1.0,0.0,-1.575398325920105,1.2016170752048492,-0.13043438374996186,-0.021565853625070304,0.0,-1.6,1.2000000000000002,-0.15000000000000002,0.0,0.0,83.74642653465271,-463.4130382537842,-389.99621826171875,172.29786628723144,-6.63140180110931e-14,19.209404343819873,-169.99648726670668,-129.44433193726286,57.55118116963377,-1.6033539598135855e-19,0.33260398340525216,-0.6497818313328371,-0.15453850709701789,0.00018564388816582692
-1.0,0.0,-1.6014759540557861,1.1566215753555298,-0.17180585861206055,-0.021521636951445343,0.0,-1.6,1.2000000000000002,-0.15000000000000002,0.0,0.0,298.50278927619917,-142.91883541877726,-34.970001220703125,172.16000366210938,-6.627716712242795e-14,97.62522551054542,-42.9467589011086,-12.654354348160325,57.42554969121412,8.504126298368611e-20,0.3674092085780188,-0.6220492072808183,-0.1416066136645824,0.00017260842071971768
1.0,0.0,-1.5774934317139948,1.2022713983847706,0.11965050548315048,-0.02155233554997843,0.0,-1.6,1.2000000000000002,0.09999999999999998,0.0,0.0,58.521774063396094,-483.286553200711,-422.33001708984375,172.2674694275588,-6.62435155822105e-14,19.31364540746882,-177.00893389836452,-140.40598574040675,57.513890389041606,3.0851139475244177e-19,0.31108009407607873,-0.6703799679948712,-0.1760094072696014,0.00020499752732246597
-1.0,0.0,-1.601082870364189,1.155118269920349,0.08476011037826538,-0.02161379048600793,0.0,-1.6,1.2000000000000002,0.09999999999999998,0.0,0.0,275.3954801940918,-132.10589782714842,-128.9014336490631,172.59040405273439,-6.6323546496475e-14,89.67863434480913,-45.430405651055146,-43.40808976076593,57.676524718714575,-2.2376069367616853e-19,0.34023735871755956,-0.6475094054748933,-0.16814671667859143,0.00019877025342295143
1.0,0.0,-1.5784911923343026,1.202370982938045,0.3665754436776879,-0.021546590308218115,0.0,-1.6,1.2000000000000002,0.35,0.0,0.0,82.99036336510666,-488.71357435590767,-414.260009765625,172.16000366210938,-6.630179018001837e-14,19.127462414015337,-179.9166814750828,-137.50657713948934,57.510154217717194,-7.88279950313665e-20,0.2998582410406417,-0.6809612930497375,-0.18660057578552386,0.00021188857882439242
